Error code,Name,Return code,Remarks
CE-30001-4,SCE_KERNEL_ERROR_EPERM,0x80020001,Operation not permitted
CE-30002-5,SCE_KERNEL_ERROR_ENOENT,0x80020002,No such file or directory
CE-30003-6,SCE_KERNEL_ERROR_ESRCH,0x80020003,No such process
CE-30004-7,SCE_KERNEL_ERROR_EINTR,0x80020004,Interrupted system call
CE-30005-8,SCE_KERNEL_ERROR_EIO,0x80020005,"Input/output error // Access to HDD or Blu-Ray failed // Step 1: Eject the disc from the PS4 system, and check that the disc is not dirty or damaged. Then retry. Step 2: Back up the data using a USB device or PS+ online storage. Then, delete the application by pressing the Options button and choosing ""Delete"" from the content area. Reload the data from the USB or online storage. Step 3: If the error occurs again, please visit our Contact page to contact SCEA for additional technical support."
CE-30006-9,SCE_KERNEL_ERROR_ENXIO,0x80020006,Device not configured
CE-30007-0,SCE_KERNEL_ERROR_E2BIG,0x80020007,Argument list too long
CE-30008-1,SCE_KERNEL_ERROR_ENOEXEC,0x80020008,Exec format error
CE-30009-2,SCE_KERNEL_ERROR_EBADF,0x80020009,Bad file descriptor
CE-30010-4,SCE_KERNEL_ERROR_ECHILD,0x8002000A,No child processes
CE-30011-5,SCE_KERNEL_ERROR_EDEADLK,0x8002000B,Resource deadlock avoided
CE-30012-6,SCE_KERNEL_ERROR_ENOMEM,0x8002000C,"Cannot allocate memory // Internal Error // Step 1: Update the PS4 system with the latest system software. Step 2: Clean disc to ensure the disc you're trying to play isn't dirty, scratched, or otherwise damaged. Step 3: Restart the PS4 system."
CE-30013-7,SCE_KERNEL_ERROR_EACCES,0x8002000D,Permission denied
CE-30014-8,SCE_KERNEL_ERROR_EFAULT,0x8002000E,Bad address
CE-30015-9,SCE_KERNEL_ERROR_ENOTBLK,0x8002000F,Block device required
CE-30016-0,SCE_KERNEL_ERROR_EBUSY,0x80020010,Device busy
CE-30017-1,SCE_KERNEL_ERROR_EEXIST,0x80020011,File exists
CE-30018-2,SCE_KERNEL_ERROR_EXDEV,0x80020012,Cross-device link
CE-30019-3,SCE_KERNEL_ERROR_ENODEV,0x80020013,Operation not supported by device
CE-30020-5,SCE_KERNEL_ERROR_ENOTDIR,0x80020014,Not a directory
CE-30021-6,SCE_KERNEL_ERROR_EISDIR,0x80020015,Is a directory
CE-30022-7,SCE_KERNEL_ERROR_EINVAL,0x80020016,Invalid argument
CE-30023-8,SCE_KERNEL_ERROR_ENFILE,0x80020017,Too many open files in system
CE-30024-9,SCE_KERNEL_ERROR_EMFILE,0x80020018,Too many open files
CE-30025-0,SCE_KERNEL_ERROR_ENOTTY,0x80020019,Inappropriate ioctl for device
CE-30026-1,SCE_KERNEL_ERROR_ETXTBSY,0x8002001A,Text file busy
CE-30027-2,SCE_KERNEL_ERROR_EFBIG,0x8002001B,File too large
CE-30028-3,SCE_KERNEL_ERROR_ENOSPC,0x8002001C,No space left on device
CE-30029-4,SCE_KERNEL_ERROR_ESPIPE,0x8002001D,Illegal seek
CE-30030-6,SCE_KERNEL_ERROR_EROFS,0x8002001E,Read-only filesystem
CE-30031-7,SCE_KERNEL_ERROR_EMLINK,0x8002001F,Too many links
CE-30032-8,SCE_KERNEL_ERROR_EPIPE,0x80020020,Broken pipe
CE-30033-9,SCE_KERNEL_ERROR_EDOM,0x80020021,Numerical argument out of domain
CE-30034-0,SCE_KERNEL_ERROR_ERANGE,0x80020022,Result too large
CE-30035-1,SCE_KERNEL_ERROR_EAGAIN,0x80020023,Resource temporarily unavailable
CE-30035-1,SCE_KERNEL_ERROR_EWOULDBLOCK,0x80020023,Operation would block (SCE_KERNEL_ERROR_EAGAIN)
CE-30036-2,SCE_KERNEL_ERROR_EINPROGRESS,0x80020024,Operation now in progress
CE-30037-3,SCE_KERNEL_ERROR_EALREADY,0x80020025,Operation already in progress
CE-30038-4,SCE_KERNEL_ERROR_ENOTSOCK,0x80020026,Socket operation on non-socket
CE-30039-5,SCE_KERNEL_ERROR_EDESTADDRREQ,0x80020027,Destination address required
CE-30040-7,SCE_KERNEL_ERROR_EMSGSIZE,0x80020028,Message too long
CE-30041-8,SCE_KERNEL_ERROR_EPROTOTYPE,0x80020029,Protocol wrong type for socket
CE-30042-9,SCE_KERNEL_ERROR_ENOPROTOOPT,0x8002002A,Protocol not available
CE-30043-0,SCE_KERNEL_ERROR_EPROTONOSUPPORT,0x8002002B,Protocol not supported
CE-30044-1,SCE_KERNEL_ERROR_ESOCKTNOSUPPORT,0x8002002C,Socket type not supported
